Tweet_Id,Tweet,Tweet_Değiştirilmiş,Tweet_Tarih,Kullanıcı_Id,Kullanıcı_Adı,Dil
1596894187555008512,"@ankara_kusu Hay Kılıçdaroğlu'na başlayacağım, muhalefet nerede Allah aşkına, gündemden bol ne var, açsın youtube c… https://t.co/UidImDkkft",  Hay Kılıçdaroğlu na başlayacağım  muhalefet nerede Allah aşkına  gündemden bol ne var  açsın youtube c   ,2022-11-27 15:50:17+00:00,1458929101,Sert Ünsüz,tr
1596893741151064065,"@ankara_kusu Seninki tahmin değil, temenni kuş,çooook beklrsin",  Seninki tahmin değil  temenni kuş çooook beklrsin,2022-11-27 15:48:31+00:00,567564804,Mhsn Sltrk,tr
1596893491472523265,@ankara_kusu @umittaydas Hayırlı işler umit shsjsj,    Hayırlı işler umit shsjsj,2022-11-27 15:47:31+00:00,1576463153466167296,kerim fenasí 🥏,tr
1596893081756110848,@AktasHbn @Mustafa_Goksu @isadivleli @ankara_kusu Fetonun sümüğünü yalayanlarla karıştırma,        Fetonun sümüğünü yalayanlarla karıştırma,2022-11-27 15:45:54+00:00,1431941675425927168,Fenerim,tr
1596893018803802112,@ankara_kusu @umittaydas Twitleri Abisi atmış olabilir  @celebimehmeta,    Twitleri Abisi atmış olabilir   ,2022-11-27 15:45:39+00:00,1554802130866806787,MİM MİM GRUBU,tr
1596891342432768000,@Adam72679142 @Volkan_10_BLK @ankara_kusu Kac balkon konusmasi izledin ded3,      Kac balkon konusmasi izledin ded ,2022-11-27 15:38:59+00:00,1222911745985011712,Schekill⚓,tr
1596890886826299392,"@ankara_kusu Amin* dedirtmek için attığın bu tweet.!!!
Valla kaşınıyorsun baykuş..
Boşa tepinme!

Bu tweetini de si… https://t.co/gSaE5HyRp1",  Amin  dedirtmek için attığın bu tweet  Valla kaşınıyorsun baykuş  Boşa tepinme   Bu tweetini de si   ,2022-11-27 15:37:10+00:00,1529542354566258690,Türkiye Sevdalısı,tr
1596890328924966912,@ankara_kusu Amin inşallah. Ama Sarayda oturarak şehit olunmaz. Komutan cephede gereklidir REIZ,  Amin inşallah  Ama Sarayda oturarak şehit olunmaz  Komutan cephede gereklidir REIZ,2022-11-27 15:34:57+00:00,1579507152741351432,Sürpriz Paylaşım (yeni hesap),tr
1596888774646157314,@ankara_kusu Orası Yüreğir olmaması şaşırtır kuş gitme oralara tüyün kalmaz,  Orası Yüreğir olmaması şaşırtır kuş gitme oralara tüyün kalmaz,2022-11-27 15:28:47+00:00,1490940251820466176,Beş yıldız 🌟🌟🌟🌟🌟,tr
1596888443346251777,@rd854379 @eemreozdemir @ankara_kusu Buna önce genel merkezin inanması lazım.,      Buna önce genel merkezin inanması lazım ,2022-11-27 15:27:28+00:00,1519616295574151168,muuood,tr
1596888262986977281,@ankara_kusu KK Tayyip ile yıllar önce anlaştı. Seçim kazansa bile ortalığı karıştırıp hükümeti yine ona verecekler… https://t.co/AFwqovr3j5,  KK Tayyip ile yıllar önce anlaştı  Seçim kazansa bile ortalığı karıştırıp hükümeti yine ona verecekler   ,2022-11-27 15:26:45+00:00,1519616295574151168,muuood,tr
1596888030505144325,@ankara_kusu Senin Tahminlerin maç tahminleri gibiyse ayvayi yedi bu millet Net!!!,  Senin Tahminlerin maç tahminleri gibiyse ayvayi yedi bu millet Net ,2022-11-27 15:25:49+00:00,1141356741768155136,EceSinan,tr
1596887563557801986,@ankara_kusu Ankara kuşu harbi malsın ya koyu chpli eniştem bile diyor Kılıçdaroğlu' aday olsun oy vermem diyor çün… https://t.co/bxQ0hQEzBy,  Ankara kuşu harbi malsın ya koyu chpli eniştem bile diyor Kılıçdaroğlu  aday olsun oy vermem diyor çün   ,2022-11-27 15:23:58+00:00,46962232,Dr jony sins,tr
1596887339800100865,@ankara_kusu Insallah,  Insallah,2022-11-27 15:23:05+00:00,1495797170838065153,Sedat Özgür,tr
1596886578655551488,"🔥 81 ilden gelen eczacılar tek ses: Tüm haksızlıklara dur diyoruz: Ankara’da 81 ilden gelen yaklaşık 5 bin eczacı,… https://t.co/X2ubm3Ke51",🔥   ilden gelen eczacılar tek ses  Tüm haksızlıklara dur diyoruz  Ankara da   ilden gelen yaklaşık   bin eczacı   ,2022-11-27 15:20:03+00:00,973432304336101376,TR TUBE,tr
1596886323532824578,@ankara_kusu Sayın Cumhurbaşkanımızın ileri görüşlülüğü ülkemizi Avrupa’da parlayan bir yaldız haline getirmiştir.… https://t.co/DNrmSrZ5kb,  Sayın Cumhurbaşkanımızın ileri görüşlülüğü ülkemizi Avrupa da parlayan bir yaldız haline getirmiştir   ,2022-11-27 15:19:02+00:00,1556001647251292160,Koray Barankaya,tr
1596886236903481345,VERTICAL MANOEUVRING ALERT : At time Sun Nov 27 15:15:22 2022 #THY4VB   was  manoeuvering vertically (altchange=193… https://t.co/uUtQrbCRv7,VERTICAL MANOEUVRING ALERT   At time Sun Nov           was  manoeuvering vertically  altchange   ,2022-11-27 15:18:42+00:00,892059375426297858,Radarspotters Assistant,tr
1596885397065564160,@ankara_kusu La kuş beyinli k.maraş ticaret odası başkanlığını kim kazandı...söylemedin dilini mı yuttun...,  La kuş beyinli k maraş ticaret odası başkanlığını kim kazandı söylemedin dilini mı yuttun ,2022-11-27 15:15:22+00:00,1188126074493964288,ali açıkgöz,tr
1596883616755519491,@ankara_kusu Almanyayi hafife almamak lazim. Evet Japonlara yenildiler ama takimlari kötü değil. Ne olacaği hiç belli olmaz.,  Almanyayi hafife almamak lazim  Evet Japonlara yenildiler ama takimlari kötü değil  Ne olacaği hiç belli olmaz ,2022-11-27 15:08:17+00:00,1487391377528967168,bjk,tr
1596883556160008195,"Ankara normalleşme için ""ortak irade"" derken Kahire beklemede https://t.co/EI9nxhMMik",Ankara normalleşme için  ortak irade  derken Kahire beklemede  ,2022-11-27 15:08:03+00:00,790943083479330816,Şarkul Avsat Türkçe,tr
1596882323596890113,@ankara_kusu Nerenin kuşüsun bilmem ama bey olmadigi belli,  Nerenin kuşüsun bilmem ama bey olmadigi belli,2022-11-27 15:03:09+00:00,1469453059990429708,nez ozk,tr
1596882151403724801,@ankara_kusu Almanya’ya varınızı yoğunuzu basın 😂,  Almanya ya varınızı yoğunuzu basın 😂,2022-11-27 15:02:28+00:00,89909351,Volk,tr
1596881311809306624,@ankara_kusu Çok beklersin 🤣,  Çok beklersin 🤣,2022-11-27 14:59:08+00:00,944604204,💛❤️ Bayram Cakir ⭐️⭐️⭐️⭐️,tr
1596881129952329733,"@muhammedyayli @ankara_kusu Son 16 eglenirler, Hirvatistan ve Belcika kadrosu cok yasli.",    Son   eglenirler  Hirvatistan ve Belcika kadrosu cok yasli ,2022-11-27 14:58:24+00:00,1594019386389630976,Levko,tr
1596880941242527744,@ankara_kusu Hala 42 ise kazanılmış sayılmaz! 20 yi geçmemeli! 😉,  Hala   ise kazanılmış sayılmaz    yi geçmemeli  😉,2022-11-27 14:57:39+00:00,161877712,ⓢ𝐞ᖇҜＡŇ ツ🇹🇷 🦅🇬🇧 🦕¹⁹⁰³,tr
1596880817199845376,@ankara_kusu Bizim milyonluk essekler ders alsinlar,  Bizim milyonluk essekler ders alsinlar,2022-11-27 14:57:10+00:00,1594019386389630976,Levko,tr
1596880752977014785,@ankara_kusu Ya kardesim Su kilicdaroglunu @pompalamyin  Ben bir alevi olarak tam erdoganin istedigi adaydir diyorum,  Ya kardesim Su kilicdaroglunu    Ben bir alevi olarak tam erdoganin istedigi adaydir diyorum,2022-11-27 14:56:54+00:00,743462330672029696,baran,tr
1596880674761359367,@ankara_kusu Sen rüyan da köprü mü görüyorsun,  Sen rüyan da köprü mü görüyorsun,2022-11-27 14:56:36+00:00,1174401017015951361,SaRaÇ,tr
1596880337833000961,@ankara_kusu 2 dk kala doğru tahmin 😂,    dk kala doğru tahmin 😂,2022-11-27 14:55:15+00:00,89909351,Volk,tr
1596880209956872192,@ankara_kusu Hay sizin KK sevdaniza.,  Hay sizin KK sevdaniza ,2022-11-27 14:54:45+00:00,99751437,Nejdet Bülbül,tr
1596880180165087233,@ankara_kusu 😂 Ruyanda bile boyle oy oranini goremezsin! Beceriksiz ve siyaseten koskaca bir 0 olan Kilicdaroglundan bi cacik olmaz!!!,  😂 Ruyanda bile boyle oy oranini goremezsin  Beceriksiz ve siyaseten koskaca bir   olan Kilicdaroglundan bi cacik olmaz ,2022-11-27 14:54:38+00:00,1578028916316327937,Hollandali Türk,tr
1596879916586663936,@ankara_kusu Kuş bundan sonraki twitlerin seçim güvenliği için olmazsa Kılıçdaroğlu %1 erdoğan % 99 olur bu seçimin… https://t.co/fkiVZpPRmI,  Kuş bundan sonraki twitlerin seçim güvenliği için olmazsa Kılıçdaroğlu   erdoğan     olur bu seçimin   ,2022-11-27 14:53:35+00:00,1506427418856284160,CİN ALi,tr
1596879867919839232,@ankara_kusu İsterseniz mahkemeye verin hiç umurumda bile olmaz eğer sizin bu algılarınız terse gelip Erdoğan bir k… https://t.co/wcby28fyp2,  İsterseniz mahkemeye verin hiç umurumda bile olmaz eğer sizin bu algılarınız terse gelip Erdoğan bir k   ,2022-11-27 14:53:23+00:00,1092038986200203268,Gurbetci---Trol olmayanından,tr
1596878505324990464,@ankara_kusu Tam tersi olmasın baykuş😉,  Tam tersi olmasın baykuş😉,2022-11-27 14:47:58+00:00,1529542354566258690,Türkiye Sevdalısı,tr
1596878303398309888,@ankara_kusu Haydaa yedik tersi çıkacak yine..,  Haydaa yedik tersi çıkacak yine ,2022-11-27 14:47:10+00:00,89909351,Volk,tr
1596878048774979586,@ankara_kusu Ve yine Erdogan kazanir maalesef.,  Ve yine Erdogan kazanir maalesef ,2022-11-27 14:46:10+00:00,1594019386389630976,Levko,tr
1596877675775369219,"@ankara_kusu Bence iyimser yaklaşıyorsun,
Gönlüm Kılıçdaroğlu’nun kazanmasından yana ama Erdoğan’ın seçimi kazanaca… https://t.co/8BQHDXev1C",  Bence iyimser yaklaşıyorsun  Gönlüm Kılıçdaroğlu nun kazanmasından yana ama Erdoğan ın seçimi kazanaca   ,2022-11-27 14:44:41+00:00,1570764863596535809,VARTOLU,tr
1596876189674737666,@ankara_kusu Seni önemli biri sanıyorlar aq ona kopuyorum sjsjsjssjsj,  Seni önemli biri sanıyorlar aq ona kopuyorum sjsjsjssjsj,2022-11-27 14:38:46+00:00,603430136,Şemsiyeci Şemsi ☔️,tr
1596875931142221827,@ankara_kusu Kuş değil sanki melek mübarek🤣,  Kuş değil sanki melek mübarek🤣,2022-11-27 14:37:45+00:00,1570764863596535809,VARTOLU,tr
1596870736572190720,"Ankara’da 2014 yılında aldığım uzman maaşı 1.800 liraydı. Hey gidi hey, hiç aklıma gelmezdi günün birinde önce Alma… https://t.co/7FuVip516A",Ankara da   yılında aldığım uzman maaşı   liraydı  Hey gidi hey  hiç aklıma gelmezdi günün birinde önce Alma   ,2022-11-27 14:17:06+00:00,229531579,Gökçehan Pürsöken,tr
1596865282353811458,Son 3 gündür üst üste kara haberler Ankara'ya gidiyor!,Son   gündür üst üste kara haberler Ankara ya gidiyor ,2022-11-27 13:55:26+00:00,1543659448022999041,Memed DREWSS,tr
1596863198866862081,"Türk devletinin resmî olarak tanıdığı, Ankara’da karşılamada, içişleri bakanının davet masasında, devlet karşılama… https://t.co/LrshekPAed",Türk devletinin resmî olarak tanıdığı  Ankara da karşılamada  içişleri bakanının davet masasında  devlet karşılama   ,2022-11-27 13:47:09+00:00,1271070681506201600,KP #Rojhelat ☀️,tr
